AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,6,4,54,S,145,23,30,E,1610,-6.082,145.392
AYLA,LAE,N/A,LAE,PAPUA NEW GUINEA,0,0,0,U,0,0,0,U,0,0,0
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,5,12,25,S,145,47,19,E,7,-5.207,145.789
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,5,49,34,S,144,17,46,E,1643,-5.826,144.296
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,6,34,11,S,146,43,34,E,73,-6.57,146.726
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,9,26,36,S,147,13,12,E,45,-9.443,147.22
AYRB,RAB,N/A,RABAUL,PAPUA NEW GUINEA,0,0,0,U,0,0,0,U,0,0,0
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,3,35,1,S,143,40,9,E,6,-3.584,143.669
BGAM,N/A,N/A,ANGMAGSSALIK,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGAS,N/A,N/A,ANGISSOQ,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGAT,N/A,N/A,APUTITEQ,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61,9,40,N,45,25,39,W,35,61.161,-45.427
BGCH,JCH,N/A,CHRISTIANSHAAB,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGCO,N/A,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,70,44,22,N,22,38,45,W,14,70.739,-22.646
BGDB,N/A,N/A,DANEBORG,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGDH,N/A,N/A,DANMARKSHAVN,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGDU,N/A,N/A,DUNDAS,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGEM,JEG,N/A,EGEDESMINDE,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGFD,N/A,N/A,FREDERIKSDAL,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGFH,JFR,N/A,FREDERIKSHAAB,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGGD,JGR,N/A,GRONNEDAL,GREENLAND,0,0,0,U,0,0,0,U,0,0,0
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,64,11,27,N,51,40,41,W,87,64.191,-51.678
